Symbol,Company Name,Security Price,Volume (90 Day Avg),Market Capitalization,Dividend Yield,Company Headquarters Location,Sector,Industry,Optionable
FNCB,FNCB Bancorp Inc,8.1451,0.0099,$160.36M,4.41984,United States of America,Financials,Banks,No
TMRC,Texas Mineral Resources Corp,2.2,0.08172,$160.30M,,United States of America,Materials,Metals & Mining,No
ESCA,Escalade Inc,11.78,0.04777,$160.09M,5.09338,United States of America,Consumer Discretionary,Leisure Products,Yes (Option Chain)
AMXEF,Amex Exploration Inc,1.55,0.01602,$160.03M,,Canada,Materials,Metals & Mining,No
HIL,Hill International Inc,2.8,0.60541,$159.84M,,United States of America,Industrials,Professional Services,Yes (Option Chain)
INFU,InfuSystem Holdings Inc,7.7,0.12429,$159.35M,,United States of America,Health Care,Health Care Providers & Services,No
JAQCU,Jupiter Acquisition Corporation,9.74,,$159.32M,,United States of America,--,--,No
IMRX,Immuneering Corp,6.03,0.0891,$159.14M,,United States of America,Health Care,Biotechnology,No
GSQB,G Squared Ascend II Inc,9.89,,$159.09M,,United States of America,--,--,No
CCTS,Cactus Acquisition Corp 1 Ltd,10.04,,$158.76M,,United States of America,--,--,No
FRBN,Forbion European Acquisition Corp,10.04,,$158.76M,,United States of America,--,--,No
MTRX,Matrix Service Co,5.92,0.33321,$158.60M,,United States of America,Industrials,Construction & Engineering,Yes (Option Chain)
MBCN,Middlefield Banc Corp,27.3,0.0089,$158.39M,2.49084,United States of America,Financials,Banks,No
NAK,Northern Dynasty Minerals Ltd,0.2987,1.85889,$158.24M,,Canada,Materials,Metals & Mining,Yes (Option Chain)
MNTS,Momentus Inc,1.9,0.84379,$158.23M,,United States of America,Industrials,Aerospace & Defense,No
CWGL,Crimson Wine Group Ltd,7.07,0.01076,$158.09M,,United States of America,Consumer Staples,Beverages,No
MMLP,Martin Midstream Partners LP,4.06,0.09644,$157.74M,0.49261,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
KULR,KULR Technology Group Inc,1.47,0.30146,$157.66M,,United States of America,Industrials,Electrical Equipment,No
ATAQ/U,Altimar Acquisition Corp III,10.15,,$157.58M,,United States of America,--,--,No
HYMC,Hycroft Mining Holding Corp,0.7889,8.35961,$157.55M,,United States of America,Materials,Metals & Mining,No
MTNB,Matinas BioPharma Holdings Inc,0.7257,0.41245,$157.38M,,United States of America,Health Care,Biotechnology,No
HYFM,Hydrofarm Holdings Group Inc,3.48,0.84768,$156.93M,,United States of America,Industrials,Machinery,No
AXDX,Accelerate Diagnostics Inc,1.57,1.24688,$156.73M,,United States of America,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
GOCO,GoHealth Inc,0.4759,1.94641,$156.71M,,United States of America,Financials,Insurance,Yes (Option Chain)
ESSCU,East Stone Acquisition Corp,11.355,0.00051,$156.70M,,United States of America,--,--,No
ESBA,Empire State Realty OP LP,7.23,0.0099,$156.65M,1.93638,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),No
BNNRU,Banner Acquisition Corp,9.9722,,$156.56M,,United States of America,--,--,No
AMSC,American Superconductor Corp,5.48,0.35165,$156.54M,,United States of America,Industrials,Electrical Equipment,Yes (Option Chain)
PFMT,Performant Financial Corp,2.12,0.12257,$156.49M,,United States of America,Industrials,Commercial Services & Supplies,Yes (Option Chain)
TAP/A,Molson Coors Beverage Company,61.0,0.00212,$156.34M,2.4918,United States of America,Consumer Staples,Beverages,No
ORIC,ORIC Pharmaceuticals Inc,3.96,0.3337,$156.33M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
EBMT,Eagle Bancorp Montana Inc,19.45,0.00749,$156.30M,2.82776,United States of America,Financials,Banks,No
OHAA,OPY Acquisition Corp I,9.88,,$156.23M,,United States of America,--,--,No
ARDX,Ardelyx Inc,1.01,3.01904,$156.18M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
NUBI,Nubia Brand International Corp,10.03,,$156.08M,,United States of America,--,--,No
HEAR,Turtle Beach Corp,9.44,0.47678,$156.01M,,United States of America,Information Technology,"Technology Hardware, Storage & Peripherals",Yes (Option Chain)
VIRX,Viracta Therapeutics Inc,4.15,0.22334,$155.87M,,United States of America,Health Care,Biotechnology,No
BSBK,Bogota Financial Corp,11.01,0.00825,$155.71M,,United States of America,Financials,Thrifts & Mortgage Finance,No
CVRX,CVRx Inc,7.56,0.11466,$155.55M,,United States of America,Health Care,Health Care Equipment & Supplies,No
ALPAU,Alpha Healthcare Acquisition Corp III,9.75,,$155.10M,,United States of America,--,--,No
DKDCA,Data Knights Acquisition Corp,10.34,,$154.69M,,United Kingdom,--,--,No
GMINF,G Mining Ventures Corp,0.5978,,$154.50M,,Canada,Materials,Metals & Mining,No
MREO,Mereo BioPharma Group Plc,1.32,4.16247,$154.42M,,United Kingdom,Health Care,Biotechnology,No
EMOTF,Emerita Resources Corp,0.7567,,$154.34M,,Canada,Materials,Metals & Mining,No
NRT,North European Oil Royalty Trust,16.78,0.05438,$154.22M,7.33015,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
FWONB,Formula One Group - The Liberty Media Group,63.0,0.00025,$154.10M,,United States of America,Communication Services,Media,No
EVOJ,Evo Acquisition Corp,9.86,,$154.07M,,United States of America,--,--,No
EVI,Evi Industries Inc,12.31,0.04482,$154.07M,,United States of America,Industrials,Trading Companies & Distributors,No
TRVI,Trevi Therapeutics Inc,3.6,1.07767,$153.98M,,United States of America,Health Care,Pharmaceuticals,No
BLNGU,Belong Acquisition Corp,9.89,,$153.79M,,United States of America,--,--,No
NLIT,Northern Lights Acquisition Corp,10.29,,$153.35M,,United States of America,--,--,No
CRMD,CorMedix Inc,3.73,0.52122,$153.34M,,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
AACIU,Armada Acquisition Corp I,9.91,,$153.21M,,United States of America,--,--,No
DMEHF,Desert Mountain Energy Corp,2.04,,$153.21M,,Canada,Materials,Metals & Mining,No
POET,POET Technologies Inc,4.16,0.02602,$152.64M,,Canada,Information Technology,Semiconductors & Semiconductor Equipment,No
OFSTF,Carbon Streaming Corporation,3.27,0.03391,$152.61M,,Canada,Industrials,Commercial Services & Supplies,No
WIMI,Wimi Hologram Cloud Inc,1.76,0.63797,$152.61M,,China,Communication Services,Media,Yes (Option Chain)
MBTC,Nocturne Acquisition Corp,10.2801,,$152.56M,,United States of America,--,--,No
RPID,Rapid Micro Biosystems Inc,3.63,0.24221,$152.25M,,United States of America,Health Care,Life Sciences Tools & Services,No
VRCA,Verrica Pharmaceuticals Inc,3.7,0.43223,$152.05M,,United States of America,Health Care,Pharmaceuticals,No
MEC,Mayville Engineering Co Inc,7.4,0.09845,$151.94M,,United States of America,Industrials,Machinery,No
RAMMU,Aries I Acquisition Corp,10.57,,$151.94M,,Cayman Islands,--,--,No
ASAXU,Astrea Acquisition Corp,9.83,,$151.68M,,United States of America,--,--,No
PONO,Pono Capital Corp,10.16,,$151.35M,,United States of America,--,--,No
OVLY,Oak Valley Bancorp,18.28,0.00533,$150.90M,1.64114,United States of America,Financials,Banks,No
BGPPF,BGP Acquisition Corp,13.11,,$150.77M,,Canada,--,--,No
FTII,FutureTech II Acquisition Corp,10.03,,$150.70M,,United States of America,--,--,No
OVID,Ovid Therapeutics Inc,2.14,0.15111,$150.70M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
DHAC,Digital Health Acquisition Corp,10.09,,$150.66M,,United States of America,--,--,No
ENCP,Energem Corp,10.1,,$150.52M,,Malaysia,--,--,No
LPTX,Leap Therapeutics Inc,1.52,0.70031,$150.51M,,United States of America,Health Care,Biotechnology,No
OCAXU,OCA Acquisition Corp,10.05,,$150.25M,,United States of America,--,--,No
SMAP,SportsMap Tech Acquisition Corp,9.98,,$150.20M,,United States of America,--,--,No
PCOA,Pendrell Corp,150000.0,,$150.00M,,United States of America,Financials,Capital Markets,No
MITT,AG Mortgage Investment Trust Inc,6.66,0.16364,$149.86M,12.61261,United States of America,Financials,Mortgage Real Estate Investment Trusts (REITs),Yes (Option Chain)
TETE,Technology & Telecommunication Acquisition Corpora,10.05,,$149.83M,,Malaysia,--,--,No
MEAUF,Moneta Gold Inc,1.47,0.00962,$149.72M,,Canada,Materials,Metals & Mining,No
EVGR,Evergreen Corporation,10.04,,$149.68M,,Malaysia,--,--,No
INMB,INmune Bio Inc,8.33,0.10634,$149.49M,,United States of America,Health Care,Biotechnology,No
GLLI,Globalink Investment Inc,9.9999,,$149.45M,,United States of America,--,--,No
ARREF,Amerigo Resources Ltd,0.8992,0.0989,$149.42M,10.3255,Canada,Materials,Metals & Mining,No
SAMAU,Schultze Special Purpose Acquisition Corp II,9.96,,$149.40M,,United States of America,--,--,No
LIBY,Liberty Resources Acquisition Corp,10.01,,$149.20M,,United States of America,--,--,No
KYCH,Keyarch Acquisition Corp,9.855,,$149.01M,,United States of America,--,--,No
LMST,Limestone Bancorp Inc,19.5,0.00439,$148.98M,1.02564,United States of America,Financials,Banks,No
MUX,McEwen Mining Inc,3.14,0.22273,$148.92M,,Canada,Materials,Metals & Mining,Yes (Option Chain)
ARMP,Armata Pharmaceuticals Inc,4.12,0.00456,$148.73M,,United States of America,Health Care,Biotechnology,No
XYF,X Financial,2.71,0.0141,$148.65M,,China,Financials,Consumer Finance,No
IPA,ImmunoPrecise Antibodies Ltd,5.98,0.0186,$148.53M,,Canada,Health Care,Life Sciences Tools & Services,No
HEOFF,H2O Innovation Inc,1.65,0.00791,$148.51M,,Canada,Industrials,Machinery,No
AMCIU,AMCI Acquisition Corp II,9.9,,$148.50M,,United States of America,--,--,No
GENC,Gencor Industries Inc,10.13,0.0095,$148.49M,,United States of America,Industrials,Machinery,No
FSTR,L.B. Foster Co,13.58,0.01589,$148.42M,,United States of America,Industrials,Machinery,Yes (Option Chain)
WAVSU,Western Acquisition Ventures Corp,10.06,,$148.40M,,United States of America,--,--,No
RPMT,Rego Payment Architectes Inc,1.2,0.05923,$148.35M,,United States of America,Information Technology,IT Services,No
ACKIU,Ackrell SPAC Partners I Co,10.38,,$148.28M,,United States of America,--,--,No
CELC,Celcuity Inc,9.92,0.08426,$148.21M,,United States of America,Health Care,Biotechnology,No
TSQ,Townsquare Media Inc,8.64,0.04359,$148.20M,,United States of America,Communication Services,Media,Yes (Option Chain)
SAGA,Sagaliam Acquisition Corp,9.95,,$148.16M,,United States of America,--,--,No
GMFI,Aetherium Acquisition Corp,9.94,,$148.15M,,United States of America,--,--,No
ROCG,Roth CH Acquisition IV Co,9.98,,$148.07M,,United States of America,--,--,No
FTCO,Fortitude Gold Corp,6.1565,0.0402,$147.91M,7.79664,United States of America,Materials,Metals & Mining,No
VHC,VirnetX Holding Corp,2.07,0.45497,$147.85M,,United States of America,Information Technology,Software,Yes (Option Chain)
INKA,Kludein I Acquisition Corp,10.03,,$147.61M,,United States of America,--,--,No
BIOR,Biora Therapeutics Inc,0.7902,2.40337,$147.47M,,United States of America,Health Care,Biotechnology,No
WAVS,Western Acquisition Ventures Corp,9.99,,$147.36M,,United States of America,--,--,No
ALSA,Alpha Star Acquisition Corp,10.02,,$147.34M,,United States of America,--,--,No
PEBK,Peoples Bancorp of North Carolina Inc.,26.12,0.00342,$147.34M,2.75651,United States of America,Financials,Banks,No
BMAQ,Blockchain Moon Acquisition Corp,9.95,,$147.31M,,United States of America,--,--,No
RWOD,Redwoods Acquisition Corp,9.88,,$147.26M,,United States of America,--,--,No
WULF,Terawulf Inc.,1.38,0.48202,$147.25M,,United States of America,Information Technology,Software,No
PROF,Profound Medical Corp,7.06,0.02653,$147.21M,,Canada,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
ROCL,Roth CH Acquisition V Co,9.92,,$147.18M,,United States of America,--,--,No
CPS,Cooper-Standard Holdings Inc,8.6,0.58774,$147.11M,,United States of America,Consumer Discretionary,Auto Components,Yes (Option Chain)
MSSAU,Metal Sky Star Acquisition Corporation,10.0,,$147.05M,,United States of America,--,--,No
MITAU,Coliseum Acquisition Corp,9.78,,$146.70M,,United States of America,--,--,No
APMIU,AxonPrime Infrastructure Acquisition Corp,9.78,,$146.70M,,United States of America,--,--,No
MACA,Moringa Acquisition Corp,9.875,,$146.69M,,United States of America,--,--,No
NBTX,Nanobiotix SA,4.206,0.00236,$146.69M,,France,Health Care,Biotechnology,No
HNVR,Hanover Bancorp Inc,20.1058,,$146.63M,1.98948,United States of America,Financials,Banks,No
EDTX,EdtechX Holdings Acquisition Corp II,10.2,,$146.63M,,United Kingdom,--,--,No
SNFCA,Security National Financial Corp,7.83,0.01698,$146.56M,,United States of America,Financials,Thrifts & Mortgage Finance,No
TALS,Talaris Therapeutics Inc,3.5,0.15203,$145.94M,,United States of America,Health Care,Biotechnology,No
OFED,Oconee Federal Financial Corp,26.0,0.00189,$145.83M,1.53846,United States of America,Financials,Thrifts & Mortgage Finance,No
SAL,Salisbury Bancorp Inc,25.2,0.00568,$145.76M,2.53968,United States of America,Financials,Banks,No
MSSA,Metal Sky Star Acquisition Corporation,9.9101,,$145.73M,,United States of America,--,--,No
OXAC,Oxbridge Acquisition Corp,10.05,,$145.62M,,Cayman Islands,--,--,No
FLACU,Frazier Lifesciences Acquisition Corp,10.18,,$145.58M,,United States of America,--,--,No
FEXD,Fintech Ecosystem Development Corp,10.085,,$145.56M,,United States of America,--,--,No
FSTX,F-star Therapeutics Inc,6.74,,$145.48M,,United Kingdom,Health Care,Biotechnology,No
AXH,Industrial Human Capital Inc,10.11,,$145.33M,,United States of America,--,--,No
ROSEU,Rose Hill Acquisition Corporation,10.1,,$145.19M,,United States of America,--,--,No
OLITU,OmniLit Acquisition Corp,10.1,,$145.19M,,United States of America,--,--,No
RACYU,Relativity Acquisition Corp,10.1,,$145.19M,,United States of America,--,--,No
YOTA,Yotta Acquisition Corp,9.8601,,$145.12M,,United States of America,--,--,No
GLDG,Goldmining Inc,0.9323,0.70836,$145.12M,,Canada,Materials,Metals & Mining,No
CSSE,Chicken Soup for the Soul Entertainment Inc,9.01,0.28258,$145.05M,,United States of America,Communication Services,Entertainment,No
SNCR,Synchronoss Technologies Inc,1.59,0.21734,$144.98M,,United States of America,Information Technology,Software,Yes (Option Chain)
MRAM,Everspin Technologies Inc,7.19,0.14634,$144.97M,,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,No
GIAC,Gesher I Acquisition Corp,9.94,,$144.88M,,Israel,--,--,No
NGS,Natural Gas Services Group Inc.,11.74,0.04273,$144.77M,,United States of America,Energy,Energy Equipment & Services,Yes (Option Chain)
GLTA/U,Galata Acquisition Corp,10.07,,$144.76M,,United States of America,--,--,No
MTRY,Monterey Bio Acquisition Corporation,10.06,,$144.61M,,United States of America,--,--,No
LVAC,LAVA Medtech Acquisition Corp,10.05,,$144.47M,,United States of America,--,--,No
WEL,Integrated Wellness Acquisition Corp,10.05,,$144.47M,,United States of America,--,--,No
PLG,Platinum Group Metals Ltd,1.46,0.57582,$144.46M,,Canada,Materials,Metals & Mining,Yes (Option Chain)
OFS,OFS Capital Corporation,10.75,0.05993,$144.37M,10.7907,United States of America,Financials,Capital Markets,No
AFAR,Aura FAT Projects Acquisition Corp,9.95,,$144.18M,,Singapore,--,--,No
RFAC,RF Acquisition Corp,9.89,,$144.15M,,Singapore,--,--,No
WINV,WinVest Acquisition Corp,10.01,,$143.89M,,United States of America,--,--,No
TGVC,TG Venture Acquisition Corp,9.96,,$143.89M,,United States of America,--,--,No
OVBC,Ohio Valley Banc Corp.,30.11,0.00342,$143.68M,2.78977,United States of America,Financials,Banks,No
CNIKF,Canada Nickel Co Inc,1.27,,$143.59M,,Canada,Materials,Metals & Mining,No
SPOK,Spok Holdings Inc,7.29,0.11887,$143.57M,17.14678,United States of America,Communication Services,Wireless Telecommunication Services,Yes (Option Chain)
ALMTF,Almonty Industries Inc,0.66465,0.02525,$143.55M,,Canada,Materials,Metals & Mining,No
SUP,Superior Industries International Inc.,5.31,0.08326,$143.45M,,United States of America,Consumer Discretionary,Auto Components,Yes (Option Chain)
IMUX,Immunic Inc,4.69,0.58051,$143.35M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
ADRA,Adara Acquisition Corp,9.94,,$142.89M,,United States of America,--,--,No
DVDDF,Dividend 15 Split Corp II,4.4824,0.00015,$142.81M,0.0,Canada,--,--,No
BEEM,Beam Global,14.16,0.19093,$142.80M,,United States of America,Industrials,Electrical Equipment,Yes (Option Chain)
VRA,Vera Bradley Inc,4.53,0.51139,$142.50M,,United States of America,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Yes (Option Chain)
EDN,Empresa Distribuidora y Comercializadora Norte SA,6.44,0.01754,$142.39M,,Argentina,Utilities,Electric Utilities,No
INTE,Integral Acquisition Corporation 1,9.9,,$142.31M,,United States of America,--,--,No
BENE,Benessere Capital Acquisition Corp,10.37,,$142.31M,,United States of America,--,--,No
BCLI,Brainstorm Cell Therapeutics,3.9,0.109,$142.30M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
PRBM/U,Parabellum Acquisition Corp,9.89,,$142.17M,,United States of America,--,--,No
MURFU,Murphy Canyon Acquisition Corp,10.17,,$142.17M,,United States of America,--,--,No
CZWI,Citizens Community Bancorp Inc,13.5,0.00462,$142.16M,1.92593,United States of America,Financials,Banks,No
GUER,Guerrilla RF Inc,,,$141.59M,,United States of America,--,--,No
CLLS,Cellectis SA,3.11,0.14075,$141.54M,,France,Health Care,Biotechnology,Yes (Option Chain)
FRAF,Franklin Financial Services Corp,32.15,0.00851,$141.27M,3.98134,United States of America,Financials,Banks,No
PBYI,Puma Biotechnology Inc,3.1,0.39279,$141.22M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
WEJO,Wejo Group Limited,1.31,0.68069,$141.03M,,United Kingdom,Communication Services,Interactive Media & Services,No
JFIN,Jiayin Group Inc,2.62,0.03291,$140.96M,,China,Financials,Consumer Finance,No
FINW,Finwise Bancorp,10.925,,$140.77M,,United States of America,Financials,Banks,No
MVO,MV Oil Trust,12.22,,$140.53M,15.54828,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
FATP,Fat Projects Acquisition Corp,9.95,,$140.47M,,Singapore,--,--,No
ADN,Advent Technologies Holdings Inc,2.72,5.108,$140.44M,,United States of America,Industrials,Electrical Equipment,Yes (Option Chain)
GHL,Greenhill & Co Inc,7.81,0.26972,$139.74M,5.12164,United States of America,Financials,Capital Markets,Yes (Option Chain)
BH/A,Biglari Holdings Inc,675.0,0.00015,$139.73M,,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",No
JATT/U,JATT Acquisition Corp,10.09,,$139.24M,,Cayman Islands,--,--,No
CAPR,Capricor Therapeutics Inc,5.71,0.13197,$139.02M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
CLOEU,Clover Leaf Capital Corp,10.05,,$139.00M,,United States of America,--,--,No
PRTG,Portage Biotech Inc,8.18,0.0369,$138.61M,,British Virgin Islands,Health Care,Biotechnology,No
KXIN,Kaixin Auto Holdings,0.7925,,$138.58M,,China,Consumer Discretionary,Specialty Retail,Yes (Option Chain)
FFNW,First Financial Northwest Inc,15.24,0.00655,$138.56M,3.14961,United States of America,Financials,Banks,Yes (Option Chain)
RNDB,Randolph Bancorp Inc,26.63,0.01132,$138.56M,2.2531,United States of America,Financials,Thrifts & Mortgage Finance,No
ALPP,Alpine 4 Holdings Inc,0.776,,$138.49M,,United States of America,Information Technology,"Electronic Equipment, Instruments & Components",No
REVE,Alpine Acquisition Corp,10.22,,$138.48M,,United States of America,--,--,No
AMAOU,American Acquisition Opportunity Inc,10.01,,$138.14M,,United States of America,--,--,No
FCCO,First Community Corp,18.2,0.00885,$137.72M,2.85714,United States of America,Financials,Banks,No
NANX,Nanophase Technologies Corp,2.8,0.01947,$137.58M,,United States of America,Materials,Chemicals,No
ASXC,Asensus Surgical Inc,0.58,2.57596,$137.30M,,United States of America,Health Care,Health Care Equipment & Supplies,No
LTCH,Latch Inc,0.9477,1.97088,$137.25M,,United States of America,Information Technology,Software,No
PRTK,Paratek Pharmaceuticals Inc,2.5,0.54616,$137.16M,,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
HBIO,Harvard Bioscience Inc,3.29,0.26013,$136.99M,,United States of America,Health Care,Life Sciences Tools & Services,Yes (Option Chain)
TRX,TRX Gold Corporation,0.4956,0.6631,$136.82M,,Canada,Materials,Metals & Mining,Yes (Option Chain)
CYDVF,Cypress Development Corp,0.9329,0.1542,$136.70M,,Canada,Materials,Metals & Mining,No
ITI,Iteris Inc,3.21,0.27469,$136.67M,,United States of America,Information Technology,"Electronic Equipment, Instruments & Components",Yes (Option Chain)
IBER/U,Ibere Pharmaceuticals,9.89,,$136.48M,,United States of America,--,--,No
SLGL,Sol Gel Technologies Ltd,5.9,0.01261,$136.46M,,Israel,Health Care,Pharmaceuticals,No
GDLC,Grayscale Digital Large Cap Fund LLC,8.6,,$136.46M,,United States of America,--,--,No
LFT,Lument Finance Trust Inc,2.61,0.07329,$136.32M,9.1954,United States of America,Financials,Mortgage Real Estate Investment Trusts (REITs),Yes (Option Chain)
VCKA,Vickers Vantage Corp I,10.34,,$136.24M,,Singapore,--,--,No
CTRM,Castor Maritime Inc,1.44,1.12461,$136.24M,,Cyprus,Industrials,Marine,No
SHUA,SHUAA Partners Acquisition Corp I,10.03,,$136.22M,,Cayman Islands,--,--,No
SNDA,Sonida Senior Living Inc,19.94,0.00868,$135.93M,,United States of America,Health Care,Health Care Providers & Services,No
NLITU,Northern Lights Acquisition Corp,11.8,,$135.70M,,United States of America,--,--,No
CRT,Cross Timbers Royalty Trust,22.6,0.07395,$135.60M,7.68142,United States of America,Energy,"Oil, Gas & Consumable Fuels",No
CLPR,Clipper Realty Inc,8.44,0.05641,$135.57M,4.50237,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),No
ENOB,Enochian Biosciences Inc,2.56,0.38734,$135.55M,,United States of America,Health Care,Biotechnology,No
JMAC,Maxpro Capital Acquisition Corp,10.08,,$135.35M,,Taiwan,--,--,No
GLEE,Gladstone Acquisition Corp,10.1201,,$134.85M,,United States of America,--,--,No
TSHA,Taysha Gene Therapies Inc,3.28,0.22339,$134.79M,,United States of America,Health Care,Biotechnology,No
STTK,Shattuck Labs Inc,3.18,0.19586,$134.77M,,United States of America,Health Care,Biotechnology,No
GTN/A,Gray Television Inc.,17.78,0.00096,$134.65M,1.79978,United States of America,Communication Services,Media,No
AEHA,Aesther Healthcare Acquisition Corp,10.17,,$134.50M,,United States of America,--,--,No
EUCR,Eucrates Biomedical Acquisition Corp,9.9793,,$134.31M,,United States of America,--,--,No
AOGO,Arogo Capital Acquisition Corp,9.97,,$133.90M,,United States of America,--,--,No
FORA,Forian Inc,4.1,0.07658,$133.84M,,United States of America,Health Care,Health Care Technology,No
DLA,Delta Apparel Inc,19.35,0.02114,$133.81M,,United States of America,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",No
CNTQU,Chardan NexTech Acquisition 2 Corp,10.56,,$133.58M,,United States of America,--,--,No
MYMD,MyMD Pharmaceuticals Inc,3.51,,$133.58M,,United States of America,Health Care,Pharmaceuticals,No
FXCO,Financial Strategies Acquisition Corp,9.98,,$133.58M,,United States of America,--,--,No
ATY,AcuityAds Holdings Inc,2.3,0.06953,$133.58M,,Canada,Communication Services,Interactive Media & Services,No
ANAV,Alpha Network Alliance Ventures Inc,0.0403,0.0193,$133.53M,,United States of America,Communication Services,Interactive Media & Services,No
JYAC,Jiya Acquisition Corp,9.93,,$133.53M,,United States of America,--,--,No
CHBH,Croghan Bancshares Inc,61.01,0.00106,$133.43M,3.60597,United States of America,Financials,Banks,No
UONEK,Urban One Inc,4.07,0.13897,$133.37M,,United States of America,Communication Services,Media,No
LMAO,LMF Acquisition Opportunities Inc,10.22,,$133.28M,,United States of America,--,--,No
BGSF,BGSF Inc,12.71,0.01724,$133.23M,4.72069,United States of America,Industrials,Professional Services,No
RTGN,RetinalGenix Technologies Inc,8.0,,$133.09M,,United States of America,Health Care,Health Care Equipment & Supplies,No
AKLI,Akili Inc,4.17,,$132.98M,,United States of America,--,--,No
NMMCU,North Mountain Merger Corp,10.05,,$132.91M,,United States of America,--,--,No
VSAC,Vision Sensing Acquisition Corp,10.12,,$132.80M,,United States of America,--,--,No
EXPR,Express Inc,1.95,3.02546,$132.74M,,United States of America,Consumer Discretionary,Specialty Retail,Yes (Option Chain)
BCAN,BYND Cannasoft Enterprises Inc,4.47,,$132.66M,,Canada,Information Technology,Software,No
GVXXF,GoviEx Uranium Inc,0.2237,,$132.56M,,Canada,Energy,"Oil, Gas & Consumable Fuels",No
AE,Adams Resources & Energy Inc.,30.26,0.01065,$132.48M,3.17251,United States of America,Energy,"Oil, Gas & Consumable Fuels",No
HMENF,Hemisphere Energy Corp,1.2901,0.1037,$132.46M,5.98282,Canada,Energy,"Oil, Gas & Consumable Fuels",No
GWGHQ,GWG Holdings Inc,4.0,0.01848,$132.39M,,United States of America,Financials,Diversified Financial Services,No
AMRZF,Arena Minerals Inc,0.3406,0.13413,$132.37M,,Canada,Materials,Metals & Mining,No
TRHC,Tabula Rasa HealthCare Inc,5.04,1.31629,$132.31M,,United States of America,Health Care,Health Care Technology,Yes (Option Chain)
USX,US Xpress Enterprises Inc,2.57,0.35672,$132.28M,,United States of America,Industrials,Road & Rail,Yes (Option Chain)
SMSI,Smith Micro Software Inc,2.35,0.42599,$132.20M,,United States of America,Information Technology,Software,Yes (Option Chain)
WSTG,Wayside Technology Group,29.53,0.01308,$132.06M,2.30274,United States of America,Information Technology,"Electronic Equipment, Instruments & Components",No
KOPN,Kopin Corp,1.41,1.2135,$132.03M,,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
MHGU,Meritage Hospitality Group Inc.,20.0,0.00148,$131.94M,0.0,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",No
OTEC,OceanTech Acquisitions I Corp,10.14,,$131.93M,,United States of America,--,--,No
EFSI,Eagle Financial Services Inc,37.9,0.00113,$131.93M,3.06069,United States of America,Financials,Banks,No
BFIN,BankFinancial Corp,10.01,0.02111,$131.66M,3.996,United States of America,Financials,Banks,No
CMCL,Caledonia Mining Corp Plc,10.24,0.03432,$131.41M,5.46875,United Kingdom,Materials,Metals & Mining,No
INFI,Infinity Pharmaceuticals Inc,1.47,0.7642,$131.24M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
LOMLF,Lion One Metals Ltd,0.839,0.13256,$131.24M,,Canada,Materials,Metals & Mining,No
FAT,Fat Brands Inc,8.6701,0.01774,$131.23M,6.45898,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",No
ARC,ARC Document Solutions Inc,3.05,0.13756,$131.14M,6.55738,United States of America,Industrials,Commercial Services & Supplies,Yes (Option Chain)
QRHC,Quest Resource Holding Corp,6.86,0.03642,$131.14M,,United States of America,Industrials,Commercial Services & Supplies,No
XBIT,XBiotech Inc,4.3,0.11465,$130.89M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
EBACU,European Biotech Acquisition Corp,9.9,,$130.78M,,Netherlands,--,--,No
SCMAU,Seaport Calibre Materials Acquisition Corp,10.05,,$130.65M,,United States of America,--,--,No
HBB,Hamilton Beach Brands Holding Co,13.07,0.05699,$130.61M,3.21347,United States of America,Consumer Discretionary,Household Durables,No
EGTYF,Eguana Technologies Inc,0.325,0.0626,$130.60M,,Canada,Industrials,Electrical Equipment,No
FRLA,Fortune Rise Acquisition Corp,10.13,,$130.51M,,United States of America,--,--,No
INZY,Inozyme Pharma Inc,3.25,0.21857,$130.47M,,United States of America,Health Care,Biotechnology,No
CYBN,Cybin Inc,1.01,,$130.44M,,Canada,Health Care,Pharmaceuticals,No
